Z;Y;X;Corde (Calcul);Epaisseur_BF
0;0;0;521.2371073;0.5
1;0.001308997;0.031254884;521.1587993;0.5
3;0.011780942;0.281646624;520.5445424;0.5
6;0.047123405;1.131400334;518.5399901;0.5
10;0.130895956;3.175416345;514.0072699;0.5
15;0.294505387;7.297518911;505.6768734;0.5
21;0.577194952;14.88977735;491.4896504;0.5
28;1.026023844;28.58571571;467.8989598;0.5
36.79243243;1.77128208;60.763783;426.5523258;0.5
45;2.355118031;94.5175872;389.0636748;0.5
51;2.669133768;111.2827616;370.4954505;0.5
57;2.983149506;125.1083774;355.5885321;0.5
63;3.297165243;137.0294636;343.1969237;0.5
69;3.611180981;147.5756797;332.8505445;0.5
75;3.925196718;157.0618033;324.2294015;0.5
81;4.239212456;165.6932357;316.9278175;0.5
87;4.553228193;173.6129214;310.54891;0.5
93;4.867243931;180.9251437;304.7646666;0.5
99;5.181259668;187.7087744;299.480031;0.5
105;5.495275406;194.0251855;294.6746334;0.5
111;5.809291143;199.9232415;290.289881;0.5
117;6.12330688;205.4425895;286.2798655;0.5
123;6.437322618;210.6159089;282.6147792;0.5
129;6.751338355;215.4704959;279.2777869;0.5
135.2275099;7.07726104;220.1967307;276.1165684;0.5
500;26.16797812;488.1487634;100;0.5
504.34543366;26.58623872;491.4168691;97.88292605;0.5
508.63433133;27.38113892;494.8144465;95.74266572;0.5
512.83762833;28.54681635;498.3473363;93.57548649;0.5
516.92333504;30.07439949;502.0219904;91.3772897;0.5
520.86035676;31.95226252;505.8455631;89.14354296;0.5
524.61873037;34.16611376;509.8260191;86.86919786;0.5
528.16985238;36.69910448;513.9722657;84.5485893;0.5
531.48669662;39.53195708;518.2943136;82.17531086;0.5
534.54401989;42.64311184;522.8034756;79.74205886;0.5
537.31855412;46.00889100;527.5126145;77.24043533;0.5
539.78918342;49.60367895;532.4364552;74.66069563;0.5
541.93710483;53.40011717;537.5919839;71.99142113;0.5
543.74597134;57.36931249;542.9989657;69.21908821;0.5
545.20201641;61.48105693;548.6806255;66.32749149;0.5
546.29415865;65.70405762;554.6645621;63.29695738;0.5
547.01408620;70.00617499;560.9840004;60.10324914;0.5
547.35631997;74.35466733;567.6795488;56.71600509;0.5
547.38677862;76.09964216;570.4739877;55.29858367;0.5
547.38677862;77.84497141;573.3403207;53.84116845;0.5
547.38677862;82.20829454;580.8492372;50.00001061;0.5
547.38677862;83.9536238;584.0032585;48.37384411;0.5
547.38677862;85.69895305;587.2520668;46.6892028;0.5
547.38677862;87.4442823;590.6025725;44.94033918;0.5
547.38677862;89.18961155;594.0626247;43.12064666;0.5
547.38677862;90.9349408;597.6412013;41.22247742;0.5
547.38677862;92.68027006;601.3486519;39.23690863;0.5
547.38677862;94.42559931;605.1970116;37.15343824;0.5
547.38677862;96.17092856;609.2004145;34.95958295;0.5
547.38677862;97.91625781;613.3756479;32.64033709;0.5
547.38677862;99.66158706;617.7429101;30.17742947;0.4
547.38677862;101;621.2372686;27.8;0.2
